load,Month_sin,Month_cos,Day_sin,Day_cos,Hour_sin,Hour_cos,Day of the Week_sin,Day of the Week_cos
75,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419
84,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
100,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419
111,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419
105,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419
105,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419
104,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
114,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419
111,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
103,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419
93,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419
83,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
68,1.0,6.123233995736766e-17,-0.40673664307580015,0.9135454576426009,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
75,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
87,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
102,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
106,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434
108,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
110,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434
110,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
109,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434
107,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
108,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434
93,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434
85,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
71,1.0,6.123233995736766e-17,-0.5877852522924734,0.8090169943749473,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
79,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
86,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
98,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
103,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
103,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336
104,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
107,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
105,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
105,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
105,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
97,1.0,6.123233995736766e-17,-0.743144825477394,0.6691306063588585,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336
