Temp Current,Temp Hourly,Temp Hourly.1,Temp Hourly.2,Temp Hourly.3,Temp Hourly.4,Temp Hourly.5,Temp Hourly.6,Temp Hourly.7,Temp Hourly.8,Temp Hourly.9,Temp Hourly.10,Temp Hourly.11,Clouds Current,Clouds Hourly,Clouds Hourly.1,Clouds Hourly.2,Clouds Hourly.3,Clouds Hourly.4,Clouds Hourly.5,Clouds Hourly.6,Clouds Hourly.7,Clouds Hourly.8,Clouds Hourly.9,Clouds Hourly.10,Clouds Hourly.11,UVI Current,UVI Hourly,UVI Hourly.1,UVI Hourly.2,UVI Hourly.3,UVI Hourly.4,UVI Hourly.5,UVI Hourly.6,UVI Hourly.7,UVI Hourly.8,UVI Hourly.9,UVI Hourly.10,UVI Hourly.11,POP Current,POP Hourly,POP Hourly.1,POP Hourly.2,POP Hourly.3,POP Hourly.4,POP Hourly.5,POP Hourly.6,POP Hourly.7,POP Hourly.8,POP Hourly.9,POP Hourly.10,POP Hourly.11,Label
5.58,5.58,4.59,4.41,5.68,7.03,8.6,9.59,10.67,11.3,11.86,11.59,9.73,89,89,86,83,83,81,81,84,97,95,93,91,90,0.0,0.0,0.0,0.27,0.7,1.31,1.82,2.04,1.88,1.4,0.81,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
5.18,5.18,4.24,4.05,5.68,9.03,13.51,17.31,21.45,23.94,25.03,24.8,24.06,96,96,93,90,84,81,76,78,95,97,98,99,99,0.0,0.0,0.0,0.23,0.57,1.27,1.75,1.96,1.7,1.27,0.73,0.25,0.0,0.078,0.005,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
5.13,5.13,4.55,4.66,6.85,9.73,13.21,15.12,16.79,17.94,18.23,17.01,15.03,0,0,20,30,35,37,46,41,7,16,22,25,28,0.0,0.0,0.0,0.34,0.89,1.91,2.67,2.98,2.42,1.8,1.03,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
26.92,26.92,26.65,26.85,27.28,27.5,27.12,27.45,28.24,29.03,29.3,29.75,29.53,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.07,0.2,0.32,0.45,0.5,0.53,0.4,0.23,0.17,0.0,0.0,0.008,0.01,0.028000000000000004,0.047,0.068,0.073,0.094,0.099,0.1,0.1,0.1,0.1,False
18.68,18.68,18.68,19.06,21.06,23.85,27.41,29.46,30.56,31.24,31.75,31.48,28.09,75,75,62,49,36,23,10,9,3,5,5,6,10,0.0,0.0,0.0,0.38,0.95,1.67,2.29,2.54,2.07,1.54,0.91,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
26.92,26.92,26.64,26.58,26.55,25.65,25.11,24.49,24.55,24.49,24.33,23.59,22.51,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.15,0.38,0.85,1.16,1.28,1.21,0.91,0.54,0.29,0.0,0.0,0.024,0.022,0.032,0.064,0.092,0.1,0.1,0.1,0.1,0.1,0.1,0.1,False
13.62,13.62,12.88,13.68,15.96,19.02,21.79,22.84,24.08,25.09,25.5,25.29,24.28,84,84,84,86,88,91,94,95,100,100,100,100,100,0.0,0.0,0.0,0.31,0.77,1.55,2.11,2.34,1.68,1.27,0.76,0.35,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
18.52,18.52,17.33,17.82,20.43,25.54,30.76,32.05,32.45,32.61,32.61,32.94,33.22,100,100,95,92,88,85,82,80,65,75,81,85,88,0.0,0.0,0.0,0.37,0.92,1.57,2.15,2.39,1.92,1.44,0.86,0.29,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
18.34,18.34,18.48,19.63,22.91,26.65,29.59,30.25,30.9,31.44,31.82,32.04,32.04,0,0,8,22,38,58,78,82,100,100,100,100,100,0.0,0.0,0.0,0.24,0.6,1.07,1.46,1.63,1.43,1.08,0.64,0.27,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
14.04,14.04,13.78,15.78,19.38,24.37,29.48,30.63,31.17,31.53,31.53,31.59,30.76,75,75,71,76,73,78,82,85,100,100,100,100,100,0.0,0.0,0.0,0.37,0.92,1.57,2.14,2.39,1.87,1.42,0.84,0.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
31.17,31.17,31.08,31.33,31.62,31.78,31.95,32.13,31.82,32.16,32.38,32.09,31.91,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.05,0.25,0.61,1.04,1.41,1.57,1.82,1.38,0.83,0.49,0.13,0.024,0.022,0.03,0.039,0.047,0.05600000000000001,0.056999999999999995,0.053000000000000005,0.049,0.049,0.048,0.047,0.043,False
21.09,21.09,21.96,23.07,24.64,26.73,28.63,28.98,29.3,29.61,29.84,30.04,29.84,54,54,61,67,73,80,87,88,92,94,96,97,97,0.0,0.0,0.08,0.36,0.88,1.46,1.97,2.2,2.02,1.54,0.92,0.34,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
26.91,26.91,26.22,26.26,26.98,28.02,29.8,30.78,31.37,31.93,32.41,32.63,32.47,100,100,99,99,99,99,99,99,100,100,100,100,100,0.0,0.0,0.08,0.35,0.83,1.21,1.64,1.82,1.78,1.36,0.82,0.4,0.11,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,True
