Date,Production Difference
2020-10-09,162.14218194400019
2020-10-10,327.5344144439996
2020-10-11,420.1802363889992
2020-10-12,162.38687194500017
2020-10-13,319.4597924999998
2020-10-14,33.375731666999854
2020-10-15,262.73967750000156
2020-10-16,255.015181666
2020-10-17,17.51723361099903
2020-10-18,198.87100694499895
2020-10-19,138.09284416699847
2020-10-20,95.58886055600124
2020-10-21,73.0980466660003
2020-10-22,9.614714445000573
2020-10-23,105.0363286110005
2020-10-24,121.21228666599927
2020-10-25,132.61515055500058
2020-10-26,129.95262916699903
2020-10-27,344.2072358330006
2020-10-28,100.6553441670003
2020-10-29,47.92008916699888
2020-10-30,386.2570388889999
2020-10-31,180.49008555600085
2020-11-01,243.65980777699951
2020-11-02,293.02292722200036
2020-11-03,355.8977849999992
2020-11-04,364.8780466669996
2020-11-05,332.26285333299893
2020-11-06,305.1631436110001
2020-11-07,220.44725749999998
2020-11-08,311.0598752779988
2020-11-09,110.45752611199896
2020-11-10,69.87164083300013
2020-11-11,109.20440805600083
2020-11-12,52.509632778001105
2020-11-13,228.6318113890011
2020-11-14,44.95298416700098
2020-11-15,36.459097778000796
2020-11-16,140.318401945
2020-11-17,281.8887113889996
2020-11-18,167.5730047219986
2020-11-19,98.09731027799899
2020-11-20,13.925455554999644
2020-11-21,234.5316219439992
2020-11-22,11.3478422219996
2020-11-23,84.72052194400021
2020-11-24,20.294426111000575
2020-11-25,16.384724166000524
2020-11-26,37.38329083299868
2020-11-27,208.92812388899983
2020-11-28,272.5797725000011
2020-11-29,73.32164027800172
2020-11-30,39.92676555599974
2020-12-01,290.013588056001
2020-12-02,269.19798305600125
2020-12-03,140.3855805560015
2020-12-04,29.97234472299897
2020-12-05,81.66357750000316
2020-12-06,19.857048888999998
2020-12-07,22.978512222001882
2020-12-08,77.05601138899874
2020-12-09,263.7905891659975
2020-12-10,154.1862133329996
2020-12-11,41.92799194399777
2020-12-12,19.772554721999768
2020-12-13,29.570303332999174
2020-12-14,24.416369167000084
2020-12-15,6.73283305500081
2020-12-16,156.77540611099903
2020-12-17,193.2989991659997
2020-12-18,29.72370333299841
2020-12-19,28.376705555998342
2020-12-20,138.77818083300008
2020-12-21,2.57676222200098
2020-12-22,4.256418054999813
2020-12-23,2.3429711110002245
2020-12-24,0.016374443999666255
2020-12-25,2.2678769449994434
2020-12-26,0.056808334000379546
2020-12-27,0.04118416600249475
2020-12-28,5.023214722001285
2020-12-29,1.6670263889973285
2020-12-30,0.050356111001747195
2020-12-31,0.6251436109996575
2021-01-01,1.0724274999993213
2021-01-02,17.33578583399867
2021-01-03,89.74948944400239
2021-01-04,25.015100833999895
2021-01-05,196.09885972199845
2021-01-06,48.267190554997796
2021-01-07,210.7729366659987
2021-01-08,228.41713888899903
2021-01-09,28.96251555499839
2021-01-10,192.1423130559997
2021-01-11,28.93417166600193
2021-01-12,155.63274111099963
2021-01-13,223.8561580550013
2021-01-14,65.02418749999924
2021-01-15,6.7035994450016005
2021-01-16,1.0798691660020268
2021-01-17,1.5303219439992972
2021-01-18,1.8442338890017709
2021-01-19,1.8204319440010295
2021-01-20,5.415853055001207
2021-01-21,19.21549277699887
2021-01-22,46.01621166699988
2021-01-23,27.939587222001137
2021-01-24,14.268352776998654
2021-01-25,32.76702222200038
2021-01-26,27.534763055999065
2021-01-27,52.838307499998336
2021-01-28,60.03900527799851
2021-01-29,66.5199575000006
2021-01-30,32.225479444001394
2021-01-31,137.8043011109985
2021-02-01,49.39019722199737
2021-02-02,91.85109999999986
2021-02-03,235.74497166700166
2021-02-04,0.0856549999989511
2021-02-05,5.465354444000695
2021-02-06,16.13456833300006
2021-02-07,35.958500276999985
2021-02-08,49.38145194400204
2021-02-09,69.94441499999812
2021-02-10,157.86910833300135
2021-02-11,139.80524333299763
2021-02-12,71.4343386110013
2021-02-13,90.38181805500062
2021-02-14,35.050553611003124
2021-02-15,65.03277777800031
2021-02-16,198.2717388889978
2021-02-17,237.656191389
2021-02-18,40.28178833399943
2021-02-19,173.04211194399977
2021-02-20,362.11237638799867
2021-02-21,157.945995277998
2021-02-22,239.06581611100046
2021-02-23,309.663253611001
2021-02-24,313.27627805500015
2021-02-25,369.340168611001
2021-02-26,243.1894172229986
2021-02-27,162.38385916699917
2021-02-28,4.220633332999569
2021-03-01,136.92795305600157
2021-03-02,279.628345000001
2021-03-03,285.79359694400046
2021-03-04,356.4689550000003
2021-03-05,458.8271519439986
2021-03-06,485.4849747219996
2021-03-07,333.2675580549985
2021-03-08,473.78088305599886
2021-03-09,360.88453611099976
2021-03-10,39.71300694399906
2021-03-11,291.7276791669974
2021-03-12,505.3278319439996
2021-03-13,520.6964613889977
2021-03-14,456.85310305500025
2021-03-15,353.88693472199884
2021-03-16,366.77402777799944
2021-03-17,300.49326027799907
2021-03-18,510.8306313880021
2021-03-19,524.321780555998
2021-03-20,488.540727222
2021-03-21,261.77842749999763
2021-03-22,500.68679138899824
2021-03-23,88.53656138799852
2021-03-24,42.14340638900467
2021-03-25,129.8411897219994
2021-03-26,119.0465750000003
2021-03-27,173.9965322220014
2021-03-28,386.5379591669989
2021-03-29,509.3337691670022
2021-03-30,427.1354672220041
2021-03-31,363.6886619450015
2021-04-01,566.1446549999964
2021-04-02,520.6932997219992
2021-04-03,538.4408338889989
2021-04-04,245.91393916599918
2021-04-05,503.44438444400294
2021-04-06,459.04300166699977
2021-04-07,63.75728611100203
2021-04-08,68.17072472199652
2021-04-09,209.44712500000605
2021-04-10,295.6019047230002
2021-04-11,45.09409805600444
2021-04-12,123.61675166599889
